"cluster","gwas","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"Inhib","mdd_ex23andMe_ldscore","L2_0",0.418972048891835,0.528440466429639,0.0199981670796217,1.26127856936362,0.0477315065110337,3.24795775481622e-08,4.76257868624772e-09,1.35546640199905e-09,3.51360880596068,0.000442063323081439,0.00559672261837286
"Inhib","MDD_ldscore_PGC_UKB_23andme","L2_0",0.418972048891835,0.534765641582019,0.0121408516882528,1.276375459882,0.0289777127623786,1.30863746453821e-17,3.00966586287681e-09,5.99885991478055e-10,5.017063084706,5.24673436525631e-07,1.9937590587974e-05
"Inhib","mdd2019edinburgh_ldscore","L2_0",0.418972048891835,0.540061295833312,0.0134391510798738,1.28901509602312,0.032076486045835,1.44076473823237e-15,3.89638080370332e-09,7.85022497477929e-10,4.96340017798389,6.92696505429026e-07,2.33977486278249e-05
"Inhib","MEGASTROKE.1.AS.EUR_ldscore","L2_0",0.418972048891835,0.442214636711993,0.0319681034328292,1.05547527068126,0.0763012795659844,0.466896742871787,-2.22988107748033e-09,1.28942572137694e-09,-1.72935985416755,0.0837447103866746,0.282871021750545
"Inhib","MEGASTROKE.2.AIS.EUR_ldscore","L2_0",0.418972048891835,0.439989300535033,0.0293630339809706,1.05016385149985,0.0700835152574848,0.473505425523567,-2.06599919735715e-09,1.31467625344105e-09,-1.57148894410284,0.116069120480064,0.329766473139621
"Inhib","OUD_EA_MVP1_Mar12","L2_0",0.418972048891835,0.556438906933213,0.0580898917359986,1.32810508100713,0.138648608874134,0.00420029978040122,1.91135432609339e-08,7.80893631059306e-09,2.44765003845732,0.0143791243331435,0.075366444780614
"Inhib","OUD_EA_MVP1_MVP2_YP_SAGE_Mar12","L2_0",0.418972048891835,0.531335437596959,0.0518743455290547,1.26818826936623,0.123813380072156,0.0184547864290768,1.20417585630856e-08,5.40417227752625e-09,2.22823365812419,0.0258649376909882,0.113955667508122
"Inhib","OUD_EA_MVP2_Mar12","L2_0",0.418972048891835,0.577271784547074,0.169809837139429,1.37782886966788,0.405301111586249,0.261607706922214,6.04398511503591e-09,2.20933865252688e-08,0.273565354416048,0.784418661779921,0.881459910685149
"Inhib","PASS_Type_2_Diabetes.sumstats","L2_0",0.418972048891835,0.495863234687795,0.0418770519955955,1.18352342596442,0.0999518991931771,0.0552525723100972,-7.99444787117937e-10,3.6224118337205e-09,-0.220694063462366,0.825330654171373,0.907943886263317
"Inhib","PD_ldscore","L2_0",0.418972048891835,0.625576759481897,0.049595515461201,1.49312289718735,0.118374281989406,2.41746096446327e-06,5.66528307394778e-09,2.22490127864388e-09,2.54630761747815,0.0108869202459814,0.0693709764824679
"Inhib","PTSD","L2_0",0.418972048891835,0.578868463570446,0.0970736242929092,1.38163981368574,0.231694750400809,0.0649880798604581,5.37926933523821e-09,2.53166887301863e-09,2.12479182904527,0.0336039869339733,0.137213527982013
"Inhib","scz_PGC2_CLOZUK_ldscore","L2_0",0.418972048891835,0.57298819926279,0.0119654092735602,1.36760483373132,0.0285589678481136,4.82618665718826e-29,2.81643992117885e-08,4.49902238246263e-09,6.26011538008224,3.84692741347373e-10,2.92366483424004e-08
"Inhib","scz_PGC3_ldscore","L2_0",0.418972048891835,0.57544087740488,0.0118186788290614,1.373458871366,0.0282087524939226,1.12748623337269e-28,2.60928558260904e-08,3.81209954199884e-09,6.84474671729293,7.66112967166437e-12,7.76327806728656e-10
"Inhib","smoking_ldscore","L2_0",0.418972048891835,0.552019852218519,0.0216615572913192,1.31755770743798,0.0517016763972995,1.41009234874406e-07,4.76844368505891e-09,1.84706375918944e-09,2.58163458696818,0.00983336411970257,0.0664298376086574
"Inhib","stroke2022any","L2_0",0.418972048891835,0.458673796012775,0.0281604699867489,1.09475989442721,0.0672132426524211,0.156315293791119,-7.59028226970428e-10,7.93163763987873e-10,-0.956962813270971,0.33858602489458,0.565706148004968
"Macro","adhd","L2_0",0.348456902424512,0.368833175847231,0.0159885366883706,1.05847573482099,0.0458838283217371,0.204880760989393,1.40767186901779e-09,2.65561307027186e-09,0.530074160568007,0.596060513650037,0.760589427159709
"Macro","alcohol_ldscore","L2_0",0.348456902424512,0.397693413511569,0.0149145857315038,1.14129871081467,0.0428018088542093,0.000994655092509953,1.60086290169063e-10,6.0159819070414e-10,0.266101681558733,0.79016089998037,0.881459910685149
"Macro","Alzheimer_ldscore","L2_0",0.348456902424512,0.640673257226597,0.0489485091085222,1.83860113766979,0.140472204074437,5.71134949072663e-11,6.02787296995794e-10,8.65674301511058e-10,0.696321117472948,0.486227751143585,0.691453654677606
"Macro","Alzheimer_ldscore2","L2_0",0.348456902424512,0.579014082977731,0.0353537708814657,1.66165192581647,0.101458087457816,3.49748915623379e-09,4.38155886734845e-10,7.37948593658398e-10,0.593748521916245,0.552680324315217,0.736907099086957
"Macro","Alzheimer_ldscore3","L2_0",0.348456902424512,0.62975327938914,0.0386132241830473,1.80726303599501,0.110812051402576,2.87409779914801e-15,1.94963354835253e-09,7.9363259656845e-10,2.45659459652043,0.014026086927361,0.075366444780614
"Macro","Anorexia_ldscore","L2_0",0.348456902424512,0.401896459385716,0.0228443664376125,1.1533605923412,0.0655586566908699,0.0167433902434533,9.09770277814984e-09,4.93609142314569e-09,1.84309851626533,0.0653146279430957,0.251337302464571
"Macro","AUD.EUR_META.NatMed2023","L2_0",0.348456902424512,0.384660206003769,0.0130390884123427,1.10389607244787,0.037419515359342,0.00488275076350343,7.78853651580695e-10,1.1056348696228e-09,0.704440202619882,0.481158676956972,0.689963385825092
"Macro","autism_ldscore","L2_0",0.348456902424512,0.401693340512677,0.0270153157661058,1.15277768274284,0.0775284276997736,0.0616507336463652,7.72607266410483e-09,4.91141532489497e-09,1.57308477353624,0.115699190138693,0.329766473139621
"Macro","bmi_ldscore","L2_0",0.348456902424512,0.394345708608411,0.0130260281509052,1.13169148283364,0.0373820350817332,0.000355366665317098,-1.51959615009108e-10,2.05967236397719e-09,-0.0737785376290027,0.941186604964609,0.976521255662939
