Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000151067,CACNA1C,30,-0.4717,22,-0.9281,56,0.55055,63,1.10759,16,-1.3886,25,-0.8511
ENSG00000004478,FKBP4,30,-1.6227,59,-0.6030,95,0.15725,111,0.60105,105,0.32925,76,-0.2328
ENSG00000118971,CCND2,864,1.79281,143,-1.2391,221,-0.5771,299,-0.1249,337,0.09831,197,-0.8383
ENSG00000139180,NDUFA9,30,-1.2212,28,-1.3135,48,-0.4877,106,1.20022,67,0.02809,51,-0.4629
ENSG00000130035,GALNT8,307,2.73236,39,-0.9985,137,1.01899,28,-1.8079,31,-1.3796,38,-1.1443
ENSG00000110799,VWF,286,1.36465,768,3.91887,23,-2.6044,18,-3.3213,14,-3.3159,13,-3.6494
ENSG00000215039,CD27-AS1,30,-0.6575,54,0.27651,43,-0.0778,51,0.26241,56,0.34697,36,-0.4087
ENSG00000111639,MRPL51,433,1.95263,120,-0.3261,108,-0.4985,94,-0.8759,90,-0.7789,146,-0.0190
ENSG00000111640,GAPDH,2013,-0.2329,1539,-0.6553,2514,0.12656,2491,0.15057,3049,0.44712,2175,-0.1238
ENSG00000111642,CHD4,30,-1.6183,134,0.74876,67,-0.3938,90,0.09779,80,-0.1140,96,0.20947
ENSG00000139200,PIANP,30,-2.1191,6,-4.3897,118,-0.0291,225,1.72592,104,-0.2378,74,-0.8364
ENSG00000111652,COPS7A,32,-1.5512,49,-0.9068,95,0.14472,141,1.23107,45,-1.0371,69,-0.4017
ENSG00000089693,MLF2,30,-3.3538,185,-0.6507,386,0.53557,419,0.99846,299,0.11210,178,-0.7874
ENSG00000159335,PTMS,92,-2.1113,460,0.38935,317,-0.2215,442,0.44594,476,0.44616,300,-0.3444
ENSG00000250510,GPR162,30,-1.9025,31,-1.8717,144,0.54038,140,0.69908,148,0.58342,82,-0.4297
ENSG00000111667,USP5,30,-1.6265,57,-0.6528,111,0.40975,133,1.07058,69,-0.3607,56,-0.7630
ENSG00000111669,TPI1,1004,0.08891,492,-1.0348,1027,0.12609,1179,0.49564,1066,0.18788,714,-0.5111
ENSG00000111674,ENO2,312,-1.3252,263,-1.5840,1127,0.72738,1174,1.20804,484,-0.6524,431,-0.9181
ENSG00000111676,ATN1,39,-1.6726,247,1.32842,58,-1.0703,108,-0.1321,149,0.43026,108,-0.1065
ENSG00000111678,C12orf57,140,-0.4938,291,0.69574,181,-0.0882,147,-0.5372,296,0.72950,187,-0.0443
ENSG00000215021,PHB2,30,-1.6010,138,0.81599,110,0.42305,83,-0.0350,88,0.06580,74,-0.2578
ENSG00000139182,CLSTN3,829,2.22478,45,-2.5820,293,0.26550,293,0.36550,67,-2.0135,65,-2.2064
ENSG00000139197,PEX5,30,-0.6022,27,-0.7648,74,0.87964,60,0.75029,32,-0.4742,25,-0.9476
ENSG00000059804,SLC2A3,30,-1.9868,145,0.45244,132,0.30314,168,1.05766,75,-0.6033,51,-1.3037
ENSG00000089818,NECAP1,30,-2.4479,32,-2.3458,255,0.89567,223,0.97175,182,0.31811,91,-0.8724
ENSG00000166532,RIMKLB,30,-0.4172,65,0.84513,23,-0.8038,35,-0.2125,23,-0.8158,52,0.56069
ENSG00000003056,M6PR,30,-0.9447,65,0.28117,25,-1.2198,85,1.09333,22,-1.4174,48,-0.2349
ENSG00000175899,A2M,30,-3.0729,1597,4.73471,55,-2.1963,54,-2.5588,54,-2.2142,88,-1.6133
ENSG00000139112,GABARAPL1,252,-0.4747,177,-1.0245,455,0.48467,430,0.54753,389,0.22105,246,-0.5709
ENSG00000256537,SMIM10L1,30,-0.9147,33,-0.7655,48,-0.1933,51,-0.0915,81,0.69017,69,0.47017
ENSG00000111269,CREBL2,49,-0.9131,66,-0.4665,43,-1.1318,119,0.69837,120,0.50533,80,-0.1727
ENSG00000111276,CDKN1B,30,-1.4891,155,1.16373,89,0.20661,80,0.03355,59,-0.4528,67,-0.2815
ENSG00000084444,FAM234B,304,2.60722,4,-4.2591,33,-1.3067,82,0.11895,41,-0.9793,35,-1.3380
ENSG00000273079,GRIN2B,438,0.86507,50,-2.5052,307,0.25677,349,0.66909,179,-0.6060,170,-0.7611
ENSG00000084463,WBP11,30,-1.1566,72,0.21594,68,0.13329,64,0.03631,46,-0.5001,79,0.44052
ENSG00000151490,PTPRO,30,-1.0643,15,-2.1174,30,-1.0504,103,1.45748,97,0.82955,26,-1.3901
ENSG00000023734,STRAP,721,2.44844,76,-1.4740,172,-0.2222,174,-0.2667,98,-1.0915,93,-1.2750
ENSG00000008394,MGST1,30,-1.4345,48,-0.7140,16,-2.3254,80,0.10362,105,0.54177,122,0.95987
ENSG00000048540,LMO3,30,-3.3035,60,-2.2954,148,-0.9375,424,1.13903,437,0.81232,239,-0.2168
