BrNum,perm,neighbor,Z,scale,reference,id
Br5415,1,Macro,-6.804877219365587,1000,Astro.1,NA
Br5415,2,Macro,-6.549347169640048,1000,Astro.1,NA
Br5415,3,Macro,-7.348769603289731,1000,Astro.1,NA
Br5415,1,Micro.1,-2.5906664457369617,1000,Astro.1,NA
Br5415,2,Micro.1,-3.8894677636005723,1000,Astro.1,NA
Br5415,3,Micro.1,-2.748061653556297,1000,Astro.1,NA
Br5415,1,Micro.2,3.121282420513219,1000,Astro.1,NA
Br5415,2,Micro.2,4.339349866768442,1000,Astro.1,NA
Br5415,3,Micro.2,3.1832561201132923,1000,Astro.1,NA
Br5415,1,Micro.3,-2.9780087657383874,1000,Astro.1,NA
Br5415,2,Micro.3,-2.3365805658361154,1000,Astro.1,NA
Br5415,3,Micro.3,-1.8643031199455868,1000,Astro.1,NA
Br5415,1,Micro.4,-4.837964662623211,1000,Astro.1,NA
Br5415,2,Micro.4,-5.487468344461359,1000,Astro.1,NA
Br5415,3,Micro.4,-4.662437968465594,1000,Astro.1,NA
Br5415,1,Micro.5,8.806540787010888,1000,Astro.1,NA
Br5415,2,Micro.5,8.898235325837815,1000,Astro.1,NA
Br5415,3,Micro.5,9.652323432526892,1000,Astro.1,NA
Br5415,1,OPC.1,-5.661384299314739,1000,Astro.1,NA
Br5415,2,OPC.1,-5.110218249100947,1000,Astro.1,NA
Br5415,3,OPC.1,-6.0250371520259085,1000,Astro.1,NA
Br5415,1,OPC.2,9.15487691546731,1000,Astro.1,NA
Br5415,2,OPC.2,8.45593982039045,1000,Astro.1,NA
Br5415,3,OPC.2,9.15487691546731,1000,Astro.1,NA
Br5415,1,OPC.3,-5.353215059286546,1000,Astro.1,NA
Br5415,2,OPC.3,-5.192451644371099,1000,Astro.1,NA
Br5415,3,OPC.3,-5.273431614926752,1000,Astro.1,NA
Br5415,1,OPC.4,2.9945047053917766,1000,Astro.1,NA
Br5415,2,OPC.4,3.2069932841878357,1000,Astro.1,NA
Br5415,3,OPC.4,3.6559519803930622,1000,Astro.1,NA
Br5415,1,OPC.5,6.045643958708227,1000,Astro.1,NA
Br5415,2,OPC.5,5.750930947962215,1000,Astro.1,NA
Br5415,3,OPC.5,4.996555782894474,1000,Astro.1,NA
Br5415,1,Oligo.1,6.769594939305938,1000,Astro.1,NA
Br5415,2,Oligo.1,7.02363465875598,1000,Astro.1,NA
Br5415,3,Oligo.1,6.15859625007786,1000,Astro.1,NA
Br5415,1,Oligo.2,-0.213794769879232,1000,Astro.1,NA
Br5415,2,Oligo.2,-0.37898237271084073,1000,Astro.1,NA
Br5415,3,Oligo.2,-0.04593032086518482,1000,Astro.1,NA
Br5415,1,Oligo.3,15.121570163424545,1000,Astro.1,NA
Br5415,2,Oligo.3,15.63015829237072,1000,Astro.1,NA
Br5415,3,Oligo.3,15.121570163424545,1000,Astro.1,NA
Br5415,1,Oligo.4,17.838432112193654,1000,Astro.1,NA
Br5415,2,Oligo.4,17.929882999861995,1000,Astro.1,NA
Br5415,3,Oligo.4,17.929882999861995,1000,Astro.1,NA
Br5415,1,Oligo.5,-8.618644217902483,1000,Astro.1,NA
Br5415,2,Oligo.5,-9.152236355482605,1000,Astro.1,NA
Br5415,3,Oligo.5,-7.527098061100668,1000,Astro.1,NA
Br5415,1,Vasc.Endo,14.080929477637827,1000,Astro.1,NA
Br5415,2,Vasc.Endo,15.586892152802156,1000,Astro.1,NA
Br5415,3,Vasc.Endo,15.312331085047413,1000,Astro.1,NA
Br5415,1,Vasc.PC,8.679939338668328,1000,Astro.1,NA
Br5415,2,Vasc.PC,8.503203244488907,1000,Astro.1,NA
